Date,Account Balance,Backtest ID,Risk
2024-10-30,10002.40,Test 30,"TP: 0.00, SL: 0.00"
2024-09-23,10004.47,Test 30,"TP: 0.00, SL: 0.00"
2024-09-24,10002.76,Test 30,"TP: 0.00, SL: 0.00"
2024-10-14,10013.07,Test 30,"TP: 0.00, SL: 0.00"
2024-10-28,10019.10,Test 30,"TP: 0.00, SL: 0.00"
2024-10-29,10011.60,Test 30,"TP: 0.00, SL: 0.00"
2024-10-02,9997.78,Test 34,"TP: 0.00, SL: 0.00"
2024-11-04,9989.68,Test 34,"TP: 0.00, SL: 0.00"
2024-09-26,10009.18,Test 34,"TP: 0.00, SL: 0.00"
2024-10-11,10013.07,Test 34,"TP: 0.00, SL: 0.00"
2024-10-16,10004.25,Test 34,"TP: 0.00, SL: 0.00"
2024-10-22,10009.92,Test 34,"TP: 0.00, SL: 0.00"
2024-10-30,9994.06,Test 34,"TP: 0.00, SL: 0.00"
2024-11-08,10002.76,Test 34,"TP: 0.00, SL: 0.00"
2024-09-27,10016.27,Test 34,"TP: 0.00, SL: 0.00"
2024-10-09,10001.88,Test 34,"TP: 0.00, SL: 0.00"
2024-10-23,10000.08,Test 34,"TP: 0.00, SL: 0.00"
2024-10-01,9997.78,Test 34,"TP: 0.00, SL: 0.00"
2024-10-24,9998.04,Test 34,"TP: 0.00, SL: 0.00"
2024-11-05,9999.55,Test 34,"TP: 0.00, SL: 0.00"
2024-09-25,10004.53,Test 34,"TP: 0.00, SL: 0.00"
2024-10-25,9998.82,Test 34,"TP: 0.00, SL: 0.00"
2024-11-01,9989.68,Test 34,"TP: 0.00, SL: 0.00"
2024-10-07,9992.91,Test 34,"TP: 0.00, SL: 0.00"
2024-10-03,9998.83,Test 34,"TP: 0.00, SL: 0.00"
2024-11-06,9998.22,Test 34,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 34,"TP: 0.00, SL: 0.00"
2024-09-30,10007.66,Test 34,"TP: 0.00, SL: 0.00"
2024-10-08,9997.32,Test 34,"TP: 0.00, SL: 0.00"
2024-10-17,10016.70,Test 34,"TP: 0.00, SL: 0.00"
2024-10-18,10021.32,Test 34,"TP: 0.00, SL: 0.00"
2024-10-29,10003.26,Test 34,"TP: 0.00, SL: 0.00"
2024-10-31,9994.06,Test 34,"TP: 0.00, SL: 0.00"
2024-09-23,10004.47,Test 34,"TP: 0.00, SL: 0.00"
2024-10-04,9993.55,Test 34,"TP: 0.00, SL: 0.00"
2024-10-10,10006.36,Test 34,"TP: 0.00, SL: 0.00"
2024-10-14,10013.07,Test 34,"TP: 0.00, SL: 0.00"
2024-10-15,10004.25,Test 34,"TP: 0.00, SL: 0.00"
2024-10-21,10012.20,Test 34,"TP: 0.00, SL: 0.00"
2024-10-28,9998.25,Test 34,"TP: 0.00, SL: 0.00"
2024-11-07,9998.22,Test 34,"TP: 0.00, SL: 0.00"
2024-09-24,10002.76,Test 34,"TP: 0.00, SL: 0.00"
2024-09-27,10003.03,Test 2,"TP: 0.00, SL: 0.00"
2024-10-01,9997.36,Test 2,"TP: 0.00, SL: 0.00"
2024-10-23,10041.91,Test 2,"TP: 0.00, SL: 0.00"
2024-10-25,10033.48,Test 2,"TP: 0.00, SL: 0.00"
2024-10-28,10043.56,Test 2,"TP: 0.00, SL: 0.00"
2024-11-01,10014.07,Test 2,"TP: 0.00, SL: 0.00"
2024-11-04,10006.81,Test 2,"TP: 0.00, SL: 0.00"
2024-09-24,10007.77,Test 2,"TP: 0.00, SL: 0.00"
2024-10-09,10025.97,Test 2,"TP: 0.00, SL: 0.00"
2024-10-10,10027.81,Test 2,"TP: 0.00, SL: 0.00"
2024-10-16,10041.85,Test 2,"TP: 0.00, SL: 0.00"
2024-10-07,10014.34,Test 2,"TP: 0.00, SL: 0.00"
2024-10-17,10041.85,Test 2,"TP: 0.00, SL: 0.00"
2024-10-30,10040.65,Test 2,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 2,"TP: 0.00, SL: 0.00"
2024-09-23,10003.03,Test 2,"TP: 0.00, SL: 0.00"
2024-10-08,10013.50,Test 2,"TP: 0.00, SL: 0.00"
2024-10-14,10038.28,Test 2,"TP: 0.00, SL: 0.00"
2024-10-24,10033.48,Test 2,"TP: 0.00, SL: 0.00"
